name,brand,weight,engine_capacity,color,ground_clearance,landing_height,seats,max_speed,power,fuel_tank_capacity,exist_navigator,exist_compressor,height,exist_headlight,exist_turn_signal,cylinder_number,load_capacity,transmission,torque,trunk_volume,exist_radio_system
Lifan LF 250 Cruiser,Lifan,163,249,Black,160,67,2,,,,,,,,,,,,,,
Honda GL1800A Gold Wing,Honda,417,1832,Black,0,,,,,,,,,,,,,,125.25,90,0
Avenger 220 Cruise,Avenger,155,219,Black,169,72,1,,,,,,,,,,,,,,
Kawasaki Ninja 1000SX,Kawasaki,236,1043,Black,135,,,,,19,1,1,,,,,,,,,
Suzuki RMX 450Z,Suzuki,124,449,Yellow,0,,,,,,,,1265,1,1,,,,,,
Yamaha XVS 400 Drag Star,Yamaha,209,399,Black,145,71,2,,,,,,,,,,,,,,
Yamaha Grizzly 125,Yamaha,135,124,Bleu,0,,,,,,,,980,,,,88,Variator,,,
Honda CBR 1000 RR,Honda,196,1000,Red,115,,,290,143,,,,,,,,,,,,
Suzuki Volusia 800,Suzuki,241,805,Black,140,70,2,,,,,,,,,,,,,,
Suzuki Djebel 125,Suzuki,105,124,Bleu,0,,,,,,,,1125,,,1,,,,,
Dakar 250 Tekken,Dakar,132,250,Bleu,240,,,110,17,,,,,,,,,,,,
Honda ST 1300A Pan-European,Honda,321,1261,Grey,0,,,,,,,,,,,,,,125,35,1
Kawasaki Ninja H2R,Kawasaki,216,998,Green,130,,,350,200,,,,,,,,,,,,
BMW F 900 XR,BMW,219,895,Black,114,,,,,15.5,1,1,,,,,,,,,
Aprilia RSV4 RF,Aprilia,186,999.4,Red,130,,,299,201,,,,,,,,,,,,
BMW K 1600 GTL,BMW,321,1649,Red,0,,,,,,,,,,,,,,100,37,0
Kawasaki VN 4000C Vulcan,Kawasaki,234,399,Dark-bleu,135,70,2,,,,,,,,,,,,,,
GasGas EC 450 F,GasGas,107,449,Red,0,,,,,,,,1260,1,0,,,,,,
Stels ATV 110D,Stels,115,110,Red,0,,,,,,,,925,,,,240,Variator,,,
Honda Steed NV 400,Honda,203,398,Bleu,130,67,2,,,,,,,,,,,,,,
Honda VFR 800,Honda,244,782,Red,125,,,,,21,0,0,,,,,,,,,
Kawasaki Vulcan S,Kawasaki,229,649,Black,130,70,1,,,,,,,,,,,,,,
Yamaha FJR 1300,Yamaha,295,1298,White,130,,,,,25,0,1,,,,,,,,,
Roliz Sport - 003 Disk,Roliz Sport,125,250,Red,165,,,120,21,,,,,,,,,,,,
Yamaha YZ 250,Yamaha,103,249,Bleu,0,,,,,,,,1309,1,0,,,,,,
Kawasaki KLR 650,Kawasaki,194,651,Grey,0,,,,,,,,1350,,,1,,,,,
Xmoto Raptor250,Xmoto,102,249,Bleu,0,,,,,,,,860,1,0,,,,,,
Irbis ATV 110U,Irbis,90,110,Black,0,,,,,,,,980,,,,242.5,Automatic,,,
Suzuki GSX-R 1000,Suzuki,166,999,Green,130,,,278,163,,,,,,,,,,,,
Kawasaki KX85 II,Kawasaki,77,84,Green,0,,,,,,,,1105,1,1,,,,,,
Yamaha XTZ750 Super Tenere,Yamaha,236,749,Bleu,0,,,,,,,,995,,,2,,,,,
Victory Cross Country Tour,Victory,384,1731,Yellow,0,,,,,,,,,,,,,,153,98,0
Nexus XT250,Nexus,138,229.2,Black,0,,,,,,,,1080,,,1,,,,,
Yamaha Tracer 700 2020,Yamaha,196,689,Grey,140,,,,,17,0,1,,,,,,,,,
Ducati Panigale V4,Ducati,172,1214,Red,130,,,370,214,,,,,,,,,,,,
Nexus ATV-110,Nexus,86,107,Bleu,0,,,,,,,,910,,,,220,Variator,,,
Suzuki VS400 Intruder,Suzuki,198,400,Black,125,68,1,,,,,,,,,,,,,,
Racer Ranger RC250-GY8A,Racer Ranger,128,250,White,170,,,145,26,,,,,,,,,,,,
Russkaya Mehanika Rys 150,Russkaya Mehanika,143.5,149.6,Green,0,,,,,,,,1070,,,,330.69,Variator,,,
Yamaha YZF-R1M,Yamaha,170,998,Black,130,,,300,200,,,,,,,,,,,,
Suzuki XF 650 Freewind,Suzuki,168,644,Red,0,,,,,,,,1240,,,1,,,,,
BMW R 1250 RS,BMW,243,1254,Bleu,140,,,,,18,0,1,,,,,,,,,
Honda GL1500 Gold Wing,Honda,372,1520,Red,0,,,,,,,,,,,,,,152,175.5,1
Ducati Multistrada V4,Ducati,240,1158,Red,218,,,,,20,0,1,,,,,,,,,
Moto Guzzi Stelvio 1200 Ntx,Moto,272,1151,Grey,0,,,,,,,,,,,,,,58.4,85,0
BMW R 1257 RS,BMW,223,905,Black,125,,,,,18,0,1,,,,,,,,,
Lifan LF400,Lifan,175,399,Red,150,70,2,,,,,,,,,,,,,,
Honda XL 700VA Transalp,Honda,214,680,Yellow,0,,,,,,,,1305,,,2,,,,,
Honda CRF110F,Honda,128,109,Red,0,,,,,,,,912,0,0,,,,,,
